;current_year_rank;previous_year_rank;Details;INT’L_revenue_21_Millions;TOTAL_revenue_millionsUSD;2021_NEWCONTRACTS_MIL;GEN_Building;Manufacturing;Power;Water_Supply;Sewer/Waste;Industrial/Petrolium;Transportation;Hazardous_Waste;Telecom;Tag;Firm;City;Country;Year
139;140;131;CADDELL CONSTRUCTION CO. (DE) LLC, Montgomery, Ala., U.S.A. ;353.5;905.3;676.5;100;0;0;0;0;0;0;0;0;N;CADDELL CONSTRUCTION CO. (DE) LLC; Montgomery,Ala.;U.S.A.;2022
140;141;164;FORTIS CONSTRUCTION INC., Portland, Ore., U.S.A. ;346.0;1606.5;609.0;0;0;0;0;0;0;0;0;100;N;FORTIS CONSTRUCTION INC.; Portland,Ore.;U.S.A.;2022
141;142;129;CHINA WU YI CO. LTD., Fuzhou, China†;338.6;4408.3;7131.1;33;0;0;0;0;0;64;0;0;Y;CHINA WU YI CO. LTD.;Fuzhou;China;2022
142;143;159;CHINA NATIONAL AERO-TECHNOLOGY INT’L ENG’G CORP ., Beijing, China†;335.5;335.5;54.2;31;0;0;2;0;0;67;0;0;Y;CHINA NATIONAL AERO-TECHNOLOGY INT’L ENG’G CORP .;Beijing;China;2022
143;144;145;ESER CONTRACTING, Ankara, Turkey ;330.9;331.0;NA;72;0;0;9;0;0;19;0;0;N;ESER CONTRACTING;Ankara;Turkey;2022
144;145;161;MICHELS CORP ., Brownsville, Wis., U.S.A.†;326.7;3622.0;4755.0;0;0;0;0;14;86;0;0;0;Y;MICHELS CORP .; Brownsville,Wis.;U.S.A.;2022
145;146;144;YUKSEL INSAAT CO. INC., Ankara, Turkey†;320.0;326.7;NA;27;0;0;38;0;0;35;0;0;Y;YUKSEL INSAAT CO. INC.;Ankara;Turkey;2022
146;147;178;WALBRIDGE, Detroit, Mich., U.S.A. ;319.6;2262.3;2473.6;0;100;0;0;0;0;0;0;0;N;WALBRIDGE; Detroit,Mich.;U.S.A.;2022
147;148;146;BLACK & VEATCH, Overland Park, Kan., U.S.A.†;315.0;1920.0;2158.8;0;0;79;0;0;21;0;0;1;Y;BLACK & VEATCH; Overland Park,Kan.;U.S.A.;2022
148;149;139;KINDEN CORP ., Chiyoda-ku, Japan†;305.0;4739.0;4984.0;5;85;0;0;0;0;0;0;0;Y;KINDEN CORP .;Chiyoda-ku;Japan;2022
149;150;128;GRUPO EMPRESARIAL SAN JOSE SA, Pontevedra, Spain†;293.7;1061.8;1731.8;92;2;0;0;0;0;5;0;0;Y;GRUPO EMPRESARIAL SAN JOSE SA;Pontevedra;Spain;2022
