;current_year_rank;previous_year_rank;Details;INT’L_revenue_21_Millions;TOTAL_revenue_millionsUSD;2021_NEWCONTRACTS_MIL;GEN_Building;Manufacturing;Power;Water_Supply;Sewer/Waste;Industrial/Petrolium;Transportation;Hazardous_Waste;Telecom;Tag;Firm;City;Country;Year
316;67;73;CHINA GENERAL TECHNOLOGY (GROUP) HOLDING CO. LTD., Beijing, China†;1151.7;3906.1;5514.7;0;0;80;1;0;3;10;0;6;Y;CHINA GENERAL TECHNOLOGY (GROUP) HOLDING CO. LTD.;Beijing;China;2021
317;68;78;YAPI MERKEZI INSAAT VE SANAYI AS, Istanbul, Turkey†;1068.8;1214.7;14.3;0;0;0;0;2;0;98;0;0;Y;YAPI MERKEZI INSAAT VE SANAYI AS;Istanbul;Turkey;2021
318;69;75;CTCI CORP ., Taipei, Taiwan†;1059.5;1835.4;4171.7;0;3;11;0;3;83;1;0;0;Y;CTCI CORP .;Taipei;Taiwan;2021
319;70;86;ENKA INSAAT VE SANAYI AS, Istanbul, Turkey†;1056.3;1263.3;1600.1;29;0;52;0;0;14;5;0;0;Y;ENKA INSAAT VE SANAYI AS;Istanbul;Turkey;2021
320;71;79;TAKENAKA CORP ., Osaka, Japan†;1043.0;11074.0;11079.0;19;66;0;0;0;0;15;0;0;Y;TAKENAKA CORP .;Osaka;Japan;2021
321;72;81;CHINA JIANGXI INT’L ECON. AND TECH. COOP . CO. LTD., Nanchang, China†;1023.6;1086.8;1712.5;25;0;26;24;0;0;25;0;0;Y;CHINA JIANGXI INT’L ECON. AND TECH. COOP . CO. LTD.;Nanchang;China;2021
322;73;111;CHINA ELECTRIC POWER EQUIPMENT AND TECH. CO. LTD., Beijing, China†;1019.4;1019.4;190.2;0;0;100;0;0;0;0;0;0;Y;CHINA ELECTRIC POWER EQUIPMENT AND TECH. CO. LTD.;Beijing;China;2021
323;74;88;BONATTI GROUP , Parma, Italy†;995.0;1024.0;745.0;2;0;0;0;0;98;0;0;0;Y;BONATTI GROUP;Parma;Italy;2021
324;75;85;ZHONGMEI ENGINEERING GROUP LTD., Nanchang, China ;989.9;989.9;779.4;8;0;0;37;2;0;53;0;0;N;ZHONGMEI ENGINEERING GROUP LTD.;Nanchang;China;2021
325;76;74;ED. ZUBLIN AG, Stuttgart, Germany†;972.8;4921.3;NA;33;0;0;2;10;2;3;0;0;Y;ED. ZUBLIN AG;Stuttgart;Germany;2021
326;77;108;THE ARAB CONTRACTORS CO. (OSMAN AHMED OSMAN), Cairo, Egypt†;962.7;3608.9;5530.0;13;0;46;2;0;0;39;0;0;Y;THE ARAB CONTRACTORS CO. (OSMAN AHMED OSMAN);Cairo;Egypt;2021
327;78;95;HARBIN ELECTRIC INTERNATIONAL CO. LTD., Harbin, China ;942.6;980.0;3742.0;0;0;100;0;0;0;0;0;0;N;HARBIN ELECTRIC INTERNATIONAL CO. LTD.;Harbin;China;2021
328;79;98;ITINERA SPA, Tortona, Italy†;923.6;1290.2;1116.4;26;0;0;0;0;0;74;0;0;Y;ITINERA SPA;Tortona;Italy;2021
329;80;65;TEKFEN CONSTRUCTION AND INSTALLATION CO. INC., Istanbul, Turkey†;908.0;1013.0;495.0;12;0;0;0;0;55;34;0;0;Y;TEKFEN CONSTRUCTION AND INSTALLATION CO. INC.;Istanbul;Turkey;2021
330;81;90;NORINCO INTERNATIONAL COOPERATION LTD., Beijing, China†;894.9;1165.8;1571.3;6;2;45;0;0;2;4;0;0;Y;NORINCO INTERNATIONAL COOPERATION LTD.;Beijing;China;2021
331;82;66;TOYO ENGINEERING CORP ., Narashino-shi, Chiba, Japan†;891.5;1662.0;1110.1;0;0;3;0;0;93;0;0;0;Y;TOYO ENGINEERING CORP .; Narashino-shi,Chiba;Japan;2021
332;83;89;DL E&C CO. LTD., Seoul, South Korea†;880.6;6147.7;6545.8;0;0;6;3;0;59;31;0;0;Y;DL E&C CO. LTD.;Seoul;South Korea;2021
333;84;82;ZHEJIANG CONSTRUCTION INVESTMENT GROUP CO. LTD., Hangzhou, China†;871.6;14377.9;20300.8;86;0;1;0;0;10;3;0;0;Y;ZHEJIANG CONSTRUCTION INVESTMENT GROUP CO. LTD.;Hangzhou;China;2021
334;85;76;ATLAS GROUP , Katy, Texas, U.S.A.†;824.0;849.0;614.0;100;0;0;0;0;0;0;0;0;Y;ATLAS GROUP; Katy,Texas;U.S.A.;2021
335;86;70;SINOPEC ENGINEERING (GROUP) CO. LTD., Beijing, China†;807.2;8853.5;9199.8;0;0;0;0;0;100;0;0;0;Y;SINOPEC ENGINEERING (GROUP) CO. LTD.;Beijing;China;2021
336;87;77;SHIMIZU CORP ., Tokyo, Japan†;779.6;13698.1;11259.2;33;25;5;0;0;15;19;0;1;Y;SHIMIZU CORP .;Tokyo;Japan;2021
337;88;**;CBRE, Dallas, Texas, U.S.A.†;773.0;806.0;NA;0;0;0;0;0;0;0;0;0;Y;CBRE; Dallas,Texas;U.S.A.;2021
338;89;97;CHINA INTERNATIONAL WATER & ELECTRIC CORP . (CWE), Beijing, China ;772.8;772.8;654.0;4;0;91;1;0;0;5;0;0;N;CHINA INTERNATIONAL WATER & ELECTRIC CORP . (CWE);Beijing;China;2021
339;90;139;SHANDONG HI-SPEED GROUP CO. LTD., Jinan, China†;736.1;736.1;381.6;41;1;0;0;0;23;35;0;0;Y;SHANDONG HI-SPEED GROUP CO. LTD.;Jinan;China;2021
340;91;102;PER AARSLEFF HOLDING A/S, Viby, Denmark†;694.7;2088.6;2561.0;2;46;4;0;22;0;27;0;0;Y;PER AARSLEFF HOLDING A/S;Viby;Denmark;2021
341;92;116;ONUR TAAHHUT TASIMACILIK INSAAT TIC. VE SANAYI AS, Ankara, Turkey†;693.8;838.6;576.4;0;0;0;0;0;0;100;0;0;Y;ONUR TAAHHUT TASIMACILIK INSAAT TIC. VE SANAYI AS;Ankara;Turkey;2021
342;93;101;SHANGHAI CONSTRUCTION GROUP CO. LTD., Shanghai, China ;692.5;45863.4;56076.7;71;0;0;0;9;0;20;0;0;N;SHANGHAI CONSTRUCTION GROUP CO. LTD.;Shanghai;China;2021
343;94;**;QINGJIAN GROUP CO. LTD., Qingdao, Shandong, China†;685.3;9660.5;11772.6;92;0;0;1;0;1;6;0;0;Y;QINGJIAN GROUP CO. LTD.; Qingdao,Shandong;China;2021
344;95;103;BL HARBERT INTERNATIONAL, Birmingham, Ala., U.S.A. ;645.9;1199.5;1085.5;94;0;0;0;0;0;0;0;0;N;BL HARBERT INTERNATIONAL; Birmingham,Ala.;U.S.A.;2021
345;96;121;POSCO ENGINEERING & CONSTRUCTION, Pohang-si, South Korea†;629.9;6258.2;8226.3;7;3;24;2;0;58;6;0;0;Y;POSCO ENGINEERING & CONSTRUCTION;Pohang-si;South Korea;2021
346;97;87;IMPRESA PIZZAROTTI & C. SPA, Parma, Italy†;629.4;1112.0;148.5;52;0;0;0;1;0;47;0;0;Y;IMPRESA PIZZAROTTI & C. SPA;Parma;Italy;2021
347;98;115;BAUER AG, Schrobenhausen, Bavaria, Germany†;626.1;968.8;1116.9;29;3;18;9;3;11;23;0;4;Y;BAUER AG; Schrobenhausen,Bavaria;Germany;2021
348;99;104;CONTRACTING AND TRADING CO. (C.A.T.), Beirut, Lebanon†;593.0;594.0;1226.0;0;0;0;1;0;86;13;0;0;Y;CONTRACTING AND TRADING CO. (C.A.T.);Beirut;Lebanon;2021
349;100;96;CHINA GEO-ENGINEERING CORP ., Beijing, China†;588.3;1157.0;1890.4;33;0;0;31;8;0;28;0;0;Y;CHINA GEO-ENGINEERING CORP .;Beijing;China;2021
350;101;84;TAV CONSTRUCTION, Istanbul, Turkey ;586.2;665.0;NA;20;0;0;0;0;0;80;0;0;N;TAV CONSTRUCTION;Istanbul;Turkey;2021
351;102;109;NUROL CONSTRUCTION AND TRADING CO. INC., Istanbul, Turkey†;565.9;904.6;448.0;39;0;0;29;33;0;0;0;0;Y;NUROL CONSTRUCTION AND TRADING CO. INC.;Istanbul;Turkey;2021
352;103;134;ALBERICI-FLINTCO, St. Louis, Mo., U.S.A.†;559.3;2622.5;2949.5;0;0;0;2;4;93;0;0;0;Y;ALBERICI-FLINTCO; St. Louis,Mo.;U.S.A.;2021
353;104;130;SICIM SPA, Busseto, Italy†;537.0;541.3;1200.0;0;0;0;0;0;100;0;0;0;Y;SICIM SPA;Busseto;Italy;2021
354;105;110;SINOPEC ZHONGYUAN PETROLEUM ENGINEERING LTD., Puyang City, China†;524.6;1762.7;1896.6;0;0;0;0;0;100;0;0;0;Y;SINOPEC ZHONGYUAN PETROLEUM ENGINEERING LTD.;Puyang City;China;2021
355;106;106;YUNNAN CONST. AND INVEST. HOLDING GRP . CO. LTD., Kunming City, China†;516.8;516.8;454.3;28;0;0;0;0;0;72;0;0;Y;YUNNAN CONST. AND INVEST. HOLDING GRP . CO. LTD.;Kunming City;China;2021
356;107;99;JIANGSU PROVINCIAL CONSTRUCTION GROUP CO. LTD., Nanjing, China†;515.1;11012.9;17543.1;76;0;1;1;3;2;15;0;0;Y;JIANGSU PROVINCIAL CONSTRUCTION GROUP CO. LTD.;Nanjing;China;2021
357;108;122;JIANGSU NANTONG SANJIAN CONSTR. GROUP CO. LTD., Haimen, China†;507.3;15684.7;6120.4;100;0;0;0;0;0;0;0;0;Y;JIANGSU NANTONG SANJIAN CONSTR. GROUP CO. LTD.;Haimen;China;2021
358;109;105;BEIJING URBAN CONSTRUCTION GROUP CO. LTD., Beijing, China†;502.0;25624.7;32765.9;39;0;0;1;1;0;59;0;0;Y;BEIJING URBAN CONSTRUCTION GROUP CO. LTD.;Beijing;China;2021
359;110;114;DRA GLOBAL LTD., Perth, Australia†;497.8;718.7;234.4;0;0;0;0;0;0;0;0;0;Y;DRA GLOBAL LTD.;Perth;Australia;2021
360;111;93;TBEA CO. LTD., Changji, China†;489.3;6255.9;6279.9;0;0;100;0;0;0;0;0;0;Y;TBEA CO. LTD.;Changji;China;2021
361;112;125;STO BUILDING GROUP INC., New York, N.Y., U.S.A.†;483.0;8080.0;10600.0;87;0;0;0;0;0;0;0;13;Y;STO BUILDING GROUP INC.; New York,N.Y.;U.S.A.;2021
362;113;168;XPCC CONSTRUCTION & ENGINEERING (GROUP) CO. LTD., Urumqi, China†;476.3;4177.9;5837.4;28;0;0;0;13;3;28;0;0;Y;XPCC CONSTRUCTION & ENGINEERING (GROUP) CO. LTD.;Urumqi;China;2021
363;114;149;TAISEI CORP ., Tokyo, Japan†;472.0;12129.0;13590.0;33;0;0;0;0;0;31;0;0;Y;TAISEI CORP .;Tokyo;Japan;2021
364;115;129;ESTA INSAAT SANAYI LOJISTIK VE DIS TICARET AS, Istanbul, Turkey ;465.2;465.2;130.4;65;0;0;0;0;25;0;0;0;N;ESTA INSAAT SANAYI LOJISTIK VE DIS TICARET AS;Istanbul;Turkey;2021
365;116;119;AFCONS INFRASTRUCTURE LTD., Mumbai, India†;460.9;1296.1;1065.0;0;0;0;2;0;0;98;0;0;Y;AFCONS INFRASTRUCTURE LTD.;Mumbai;India;2021
366;117;117;BEIJING CONSTRUCTION ENGINEERING GROUP CO. LTD., Beijing, China†;457.4;16234.2;30353.5;76;0;0;1;5;0;18;0;0;Y;BEIJING CONSTRUCTION ENGINEERING GROUP CO. LTD.;Beijing;China;2021
367;118;135;SSANGYONG ENGINEERING & CONSTRUCTION CO. LTD., Seoul, South Korea†;452.9;1314.5;1204.8;84;0;0;0;0;0;16;0;0;Y;SSANGYONG ENGINEERING & CONSTRUCTION CO. LTD.;Seoul;South Korea;2021
368;119;146;YANJIAN GROUP CO. LTD., Yantai, China†;450.0;2063.2;2578.2;63;0;10;1;0;0;0;0;0;Y;YANJIAN GROUP CO. LTD.;Yantai;China;2021
369;120;112;GHELLA SPA, Rome, Italy†;446.0;630.0;815.0;0;0;2;0;36;0;55;0;0;Y;GHELLA SPA;Rome;Italy;2021
370;121;107;CHINA HENAN INT’L COOPERATION GROUP CO. LTD., Zhengzhou, China ;444.8;444.8;576.8;0;0;2;8;8;0;63;0;0;N;CHINA HENAN INT’L COOPERATION GROUP CO. LTD.;Zhengzhou;China;2021
371;122;124;GULERMAK, Ankara, Turkey†;439.3;607.3;147.6;0;0;0;0;0;0;100;0;0;Y;GULERMAK;Ankara;Turkey;2021
372;123;123;DONGFANG ELECTRIC CORP ., Chengdu, China†;427.9;5534.3;7369.3;0;0;100;0;0;0;0;0;0;Y;DONGFANG ELECTRIC CORP .;Chengdu;China;2021
373;124;120;CHINA JIANGSU INT’L ECON. AND TECH. COOP . GROUP LTD., Nanjing, China†;427.0;1904.7;1810.6;68;0;0;1;0;2;29;0;0;Y;CHINA JIANGSU INT’L ECON. AND TECH. COOP . GROUP LTD.;Nanjing;China;2021
374;125;**;ASLAN YAPI VE TICARET AS, Ankara, Turkey ;416.3;422.8;131.3;100;0;0;0;0;0;0;0;0;N;ASLAN YAPI VE TICARET AS;Ankara;Turkey;2021
375;126;152;ELECTRA LTD., Ramat Gan, Israel†;410.5;2325.0;2890.8;63;0;0;5;0;0;27;0;4;Y;ELECTRA LTD.;Ramat Gan;Israel;2021
376;127;126;ANHUI SOGECOA FOREIGN ECON. CONSTR. (GROUP), Hefei, Anhui, China†;410.2;414.9;5.5;59;0;6;4;0;0;3;0;0;Y;ANHUI SOGECOA FOREIGN ECON. CONSTR. (GROUP); Hefei,Anhui;China;2021
377;128;128;GRUPO EMPRESARIAL SAN JOSE SA, Tres Cantos, Spain†;409.2;1096.9;1081.4;97;0;0;0;2;0;2;0;0;Y;GRUPO EMPRESARIAL SAN JOSE SA;Tres Cantos;Spain;2021
378;129;138;CHINA WU YI CO. LTD., Fuzhou, China†;408.1;3870.6;6423.1;19;0;0;0;0;1;77;0;2;Y;CHINA WU YI CO. LTD.;Fuzhou;China;2021
379;130;161;PETRO. PROJECTS AND TECH. CONSULT. CO. - PETROJET, New Cairo, Egypt ;394.0;2012.8;3331.7;0;0;0;0;0;95;0;0;0;N;PETRO. PROJECTS AND TECH. CONSULT. CO. - PETROJET;New Cairo;Egypt;2021
380;131;141;CADDELL CONSTRUCTION CO. (DE) LLC, Montgomery, Ala., U.S.A. ;389.0;815.0;723.0;100;0;0;0;0;0;0;0;0;N;CADDELL CONSTRUCTION CO. (DE) LLC; Montgomery,Ala.;U.S.A.;2021
381;132;143;JIANGXI WATER AND HYDROPOWER CONSTR. CO. LTD., Nanchang, China ;388.7;571.1;290.8;25;0;11;43;4;0;18;0;0;N;JIANGXI WATER AND HYDROPOWER CONSTR. CO. LTD.;Nanchang;China;2021
382;133;**;SEMBOL ULUSLARARASI YATIRIM TARIM PEYZAJ INSAAT, Istanbul, Turkey ;372.7;429.8;470.7;100;0;0;0;0;0;0;0;0;N;SEMBOL ULUSLARARASI YATIRIM TARIM PEYZAJ INSAAT;Istanbul;Turkey;2021
383;134;147;TUTOR PERINI CORP ., Sylmar, Calif., U.S.A.†;365.7;6614.7;4443.4;57;0;0;0;0;0;43;0;0;Y;TUTOR PERINI CORP .; Sylmar,Calif.;U.S.A.;2021
384;135;144;ZHONGDING INTERNATIONAL ENGINEERING CO. LTD, Nanchang, China ;365.3;365.3;239.2;78;3;0;4;4;0;12;0;0;N;ZHONGDING INTERNATIONAL ENGINEERING CO. LTD;Nanchang;China;2021
385;136;142;KUZU GROUP , Istanbul, Turkey†;365.0;426.0;430.0;75;0;0;0;25;0;0;0;0;Y;KUZU GROUP;Istanbul;Turkey;2021
386;137;94;KOLIN INSAAT TURIZM SANAYI VE TICARET AS, Ankara, Turkey ;363.3;1612.4;519.2;0;0;0;0;0;2;98;0;0;N;KOLIN INSAAT TURIZM SANAYI VE TICARET AS;Ankara;Turkey;2021
387;138;131;RIZZANI DE ECCHER SPA, Pozzuolo del Friuli, Italy†;360.4;463.2;671.6;53;8;0;0;0;0;21;0;0;Y;RIZZANI DE ECCHER SPA;Pozzuolo del Friuli;Italy;2021
388;139;162;KINDEN CORP ., Chiyoda-ku, Japan†;355.0;5147.0;NA;5;85;0;0;0;0;0;0;0;Y;KINDEN CORP .;Chiyoda-ku;Japan;2021
389;140;163;SUMITOMO MITSUI CONSTRUCTION CO. LTD., Chuo-ku, Japan†;347.9;2908.5;2857.9;9;7;0;0;0;5;80;0;0;Y;SUMITOMO MITSUI CONSTRUCTION CO. LTD.;Chuo-ku;Japan;2021
390;141;211;DPR CONSTRUCTION, Redwood City, Calif., U.S.A. ;347.6;6458.0;7897.0;26;0;0;0;0;0;0;0;73;N;DPR CONSTRUCTION; Redwood City,Calif.;U.S.A.;2021
391;142;155;COMSA CORPORACIÛN, Barcelona, Spain ;343.0;889.0;NA;0;0;0;0;0;0;62;0;0;N;COMSA CORPORACIÛN;Barcelona;Spain;2021
392;143;136;CGCOC GROUP CO. LTD., Beijing, China†;331.7;387.4;719.7;4;0;3;34;0;0;59;0;0;Y;CGCOC GROUP CO. LTD.;Beijing;China;2021
393;144;118;YUKSEL INSAAT CO. INC., Ankara, Turkey†;329.6;335.5;164.7;27;0;0;33;39;0;0;0;0;Y;YUKSEL INSAAT CO. INC.;Ankara;Turkey;2021
394;145;158;ESER CONTRACTING, Ankara, Turkey ;324.2;324.9;NA;67;0;0;8;0;0;24;0;0;N;ESER CONTRACTING;Ankara;Turkey;2021
395;146;113;BLACK & VEATCH, Overland Park, Kan., U.S.A.†;321.9;1575.1;1265.3;0;0;37;14;13;37;0;0;0;Y;BLACK & VEATCH; Overland Park,Kan.;U.S.A.;2021
396;147;185;SHANGHAI URBAN CONSTRUCTION (GROUP) CORP ., Shanghai, China†;321.3;9444.0;14858.4;4;0;0;0;0;0;96;0;0;Y;SHANGHAI URBAN CONSTRUCTION (GROUP) CORP .;Shanghai;China;2021
397;148;145;SINOSTEEL EQUIPMENT & ENGINEERING CO. LTD., Beijing, China ;314.0;1906.1;3897.3;0;0;0;0;0;100;0;0;0;N;SINOSTEEL EQUIPMENT & ENGINEERING CO. LTD.;Beijing;China;2021
398;149;176;COMBINED GROUP CONTRACTING CO. (K.S.C), Kuwait, Kuwait ;294.9;440.3;155.0;83;0;0;0;6;1;10;0;0;N;COMBINED GROUP CONTRACTING CO. (K.S.C);Kuwait;Kuwait;2021
399;150;**;DREES & SOMMER, Stuttgart, Germany†;270.0;270.0;NA;57;18;3;0;0;7;9;0;5;Y;DREES & SOMMER;Stuttgart;Germany;2021
400;151;157;IC ICTAS INSAAT SANAYI VE TICARET AS, Istanbul, Turkey†;268.3;883.3;NA;16;0;0;0;0;0;84;0;0;Y;IC ICTAS INSAAT SANAYI VE TICARET AS;Istanbul;Turkey;2021
401;152;200;SENER GRUPO DE INGENIERIA SA, Getxo, Bizkaia, Spain†;260.6;285.2;197.6;0;28;45;0;0;24;0;0;2;Y;SENER GRUPO DE INGENIERIA SA; Getxo,Bizkaia;Spain;2021
402;153;**;BLUE&P INFRASTRUCTURE GROUP , Tehran, Iran†;257.5;280.8;42.8;0;0;68;32;0;0;0;0;0;Y;BLUE&P INFRASTRUCTURE GROUP;Tehran;Iran;2021
403;154;151;GILBANE BUILDING CO., Providence, R.I., U.S.A.†;256.9;6404.6;6800.1;36;0;0;0;0;62;1;1;0;Y;GILBANE BUILDING CO.; Providence,R.I.;U.S.A.;2021
404;155;132;CHINA NONFERROUS METAL IND. FOR. ENG’G AND CONSTR., Beijing, China ;244.3;245.1;420.5;0;0;0;10;0;90;0;0;0;N;CHINA NONFERROUS METAL IND. FOR. ENG’G AND CONSTR.;Beijing;China;2021
405;156;172;PARSONS, Centreville, Va., U.S.A.†;241.7;607.6;1393.4;75;0;0;0;0;0;24;0;0;Y;PARSONS; Centreville,Va.;U.S.A.;2021
406;157;171;CALIK ENERJI SANAYI VE TICARET AS, Istanbul, Turkey†;237.0;237.0;55.0;0;0;100;0;0;0;0;0;0;Y;CALIK ENERJI SANAYI VE TICARET AS;Istanbul;Turkey;2021
407;158;213;ILK CONSTRUCTION, Istanbul, Turkey ;236.7;236.7;51.7;15;0;6;0;0;28;51;0;0;N;ILK CONSTRUCTION;Istanbul;Turkey;2021
408;159;127;CHINA NATIONAL AERO-TECHNOLOGY INT’L ENG’G CORP ., Beijing, China†;231.5;533.4;746.8;53;0;0;7;0;0;40;0;0;Y;CHINA NATIONAL AERO-TECHNOLOGY INT’L ENG’G CORP .;Beijing;China;2021
409;160;159;MWH CONSTRUCTORS INC., Broomfield, Colo., U.S.A.†;223.8;600.0;1029.9;0;0;0;56;44;0;0;0;0;Y;MWH CONSTRUCTORS INC.; Broomfield,Colo.;U.S.A.;2021
410;161;175;MICHELS CORP ., Brownsville, Wis., U.S.A. ;223.4;2979.2;3704.2;0;0;1;0;10;88;0;0;0;N;MICHELS CORP .; Brownsville,Wis.;U.S.A.;2021
411;162;216;GAP INSAAT YATIRIM VE DIS TICARET AS, Istanbul, Turkey†;220.9;260.8;49.6;63;37;0;0;0;0;0;0;0;Y;GAP INSAAT YATIRIM VE DIS TICARET AS;Istanbul;Turkey;2021
412;163;203;POLAT YOL YAPI SAN. VE TIC. AS, Istanbul, Turkey†;218.1;297.4;36.9;0;0;0;0;0;0;100;0;0;Y;POLAT YOL YAPI SAN. VE TIC. AS;Istanbul;Turkey;2021
413;164;223;FORTIS CONSTRUCTION INC., Portland, Ore., U.S.A.†;218.0;1188.0;1675.0;0;0;0;0;0;0;0;0;100;Y;FORTIS CONSTRUCTION INC.; Portland,Ore.;U.S.A.;2021
414;165;189;ALARKO CONTRACTING GROUP , Istanbul, Turkey†;214.2;4292.5;NA;0;0;0;0;0;0;100;0;0;Y;ALARKO CONTRACTING GROUP;Istanbul;Turkey;2021
415;166;169;AEGION CORP ., Chesterfield, Mo., U.S.A.†;213.9;999.8;990.0;4;0;0;0;45;48;3;0;0;Y;AEGION CORP .; Chesterfield,Mo.;U.S.A.;2021
416;167;**;XIAN ELECTRIC ENGINEERING CO. LTD., Xi’an, Shaannxi, China ;211.7;211.7;NA;0;0;100;0;0;0;0;0;0;N;XIAN ELECTRIC ENGINEERING CO. LTD.; Xi’an,Shaannxi;China;2021
417;168;137;DEKINSAN GRUP INSAAT AS, Ankara, Turkey ;208.6;216.2;484.4;100;0;0;0;0;0;0;0;0;N;DEKINSAN GRUP INSAAT AS;Ankara;Turkey;2021
418;169;184;RAILWORKS, New York, N.Y., U.S.A. ;206.8;892.3;NA;0;0;0;0;0;0;100;0;0;N;RAILWORKS; New York,N.Y.;U.S.A.;2021
419;170;**;ICM SPA, Vicenza, Italy†;204.9;446.2;688.2;22;0;0;0;0;0;77;0;0;Y;ICM SPA;Vicenza;Italy;2021
420;171;154;SHENYANG YUANDA ALUMINUM INDUS. ENG’G CO. LTD., Shenyang, China†;197.3;375.5;355.9;99;0;0;0;0;0;1;0;0;Y;SHENYANG YUANDA ALUMINUM INDUS. ENG’G CO. LTD.;Shenyang;China;2021
421;172;148;CHINA NATIONAL COMPLETE PLANT IMP . & EXP . GROUP , Beijing, China†;197.0;197.0;219.2;71;7;3;0;9;10;0;0;0;Y;CHINA NATIONAL COMPLETE PLANT IMP . & EXP . GROUP;Beijing;China;2021
422;173;186;SHANXI CONSTRUCTION INVESTMENT GROUP CO. LTD., Taiyuan, China†;194.1;16933.9;29077.5;58;0;15;0;22;0;5;0;0;Y;SHANXI CONSTRUCTION INVESTMENT GROUP CO. LTD.;Taiyuan;China;2021
423;174;178;ANHUI CONSTRUCTION ENGINEERING GROUP CO. LTD., Hefei City, China†;191.7;12066.1;15150.6;59;0;0;1;0;0;40;0;0;Y;ANHUI CONSTRUCTION ENGINEERING GROUP CO. LTD.;Hefei City;China;2021
424;175;**;SHANDONG DEJIAN GROUP CO. LTD., Dezhou City, Shandong, China ;191.3;1784.9;1506.8;73;0;6;0;0;0;21;0;0;N;SHANDONG DEJIAN GROUP CO. LTD.; Dezhou City,Shandong;China;2021
425;176;194;LONGXIN CONSTRUCTION GROUP CO. LTD., Haimen, China ;191.0;4253.9;2593.5;100;0;0;0;0;0;0;0;0;N;LONGXIN CONSTRUCTION GROUP CO. LTD.;Haimen;China;2021
426;177;187;SHANDONG ZIJIAN CONSTRUCTION GROUP CO. LTD., Zibo, China ;189.6;1902.3;1470.3;97;0;0;0;0;0;0;0;3;N;SHANDONG ZIJIAN CONSTRUCTION GROUP CO. LTD.;Zibo;China;2021
427;178;214;WALBRIDGE, Detroit, Mich., U.S.A. ;188.1;1912.3;2157.5;35;65;0;0;0;0;0;0;0;N;WALBRIDGE; Detroit,Mich.;U.S.A.;2021
428;179;174;ENG’G FOR THE PETROLEUM & PROCESS INDUSTRIES (ENPPI), Cairo, Egypt†;187.5;585.5;2700.0;0;0;0;0;0;100;0;0;0;Y;ENG’G FOR THE PETROLEUM & PROCESS INDUSTRIES (ENPPI);Cairo;Egypt;2021
429;180;191;HUNAN CONSTRUCTION ENGINEERING GROUP CO. LTD., Changsha, China†;185.2;13936.4;22343.4;30;0;21;20;0;0;29;0;0;Y;HUNAN CONSTRUCTION ENGINEERING GROUP CO. LTD.;Changsha;China;2021
430;181;182;GURBAG GROUP , Ankara, Turkey†;183.8;189.5;246.1;61;0;0;0;0;0;39;0;0;Y;GURBAG GROUP;Ankara;Turkey;2021
431;182;181;LOTTE ENGINEERING & CONSTRUCTION CO. LTD., Seoul, South Korea†;172.0;4669.0;9134.0;28;0;53;0;8;3;6;0;0;Y;LOTTE ENGINEERING & CONSTRUCTION CO. LTD.;Seoul;South Korea;2021
432;183;179;TEPE INSAAT SANAYI AS, Ankara, Turkey†;168.0;215.6;216.9;28;0;0;0;0;3;69;0;0;Y;TEPE INSAAT SANAYI AS;Ankara;Turkey;2021
433;184;198;ZHEJIANG DONGYANG THIRD CONSTR. ENG’G CO. LTD., Dongyang, China†;167.9;893.6;727.3;100;0;0;0;0;0;0;0;0;Y;ZHEJIANG DONGYANG THIRD CONSTR. ENG’G CO. LTD.;Dongyang;China;2021
434;185;**;MAKYOL INSAAT SANAYI TURIZM VE TICARET AS, Istanbul, Turkey ;166.2;702.0;112.0;0;0;0;1;0;0;99;0;0;N;MAKYOL INSAAT SANAYI TURIZM VE TICARET AS;Istanbul;Turkey;2021
435;186;**;HEBEI CONSTRUCTION GROUP CO. LTD., Hebei, China†;162.7;7893.0;9129.9;0;0;70;5;2;23;0;0;0;Y;HEBEI CONSTRUCTION GROUP CO. LTD.;Hebei;China;2021
436;187;164;APTIM, Baton Rouge, La., U.S.A. ;162.3;1053.4;1339.6;23;0;0;0;0;72;0;4;0;N;APTIM; Baton Rouge,La.;U.S.A.;2021
437;188;180;METAG GROUP , Ankara, Turkey ;162.1;174.4;180.0;24;0;0;34;9;0;32;0;0;N;METAG GROUP;Ankara;Turkey;2021
438;189;205;NANTONG CONSTRUCTION GROUP CO. LTD., Nantong, China†;161.6;2079.7;2919.7;61;0;11;8;0;20;0;0;0;Y;NANTONG CONSTRUCTION GROUP CO. LTD.;Nantong;China;2021
439;190;201;ZHEJIANG COMMUNICATIONS CONSTR. GROUP CO. LTD., Hangzhou, China†;160.4;5017.3;9968.0;23;0;0;2;0;0;75;0;0;Y;ZHEJIANG COMMUNICATIONS CONSTR. GROUP CO. LTD.;Hangzhou;China;2021
440;191;170;AECON GROUP INC., Toronto, Canada ;157.0;3643.0;3308.0;0;0;7;0;0;6;3;0;0;N;AECON GROUP INC.;Toronto;Canada;2021
441;192;221;HUNAN ROAD & BRIDGE CONSTR. GROUP CO. LTD., Changsha, China†;156.3;2209.4;3469.1;0;0;0;0;0;0;100;0;0;Y;HUNAN ROAD & BRIDGE CONSTR. GROUP CO. LTD.;Changsha;China;2021
